semester_id,semester_name,start_date,end_date
1,A,2023-12-10,2023-09-20
2,B,2023-11-21,2023-07-01
3,B,2024-03-29,2024-02-09
4,ELUL,2024-03-26,2024-03-06
5,ELUL,2024-01-12,2024-02-24
6,B,2024-05-03,2023-09-09
7,A,2023-10-27,2023-11-17
8,B,2023-12-11,2023-10-10
9,B,2023-12-15,2023-11-16
10,ELUL,2023-05-28,2024-02-22
11,B,2024-01-02,2023-07-03
12,A,2023-12-07,2023-10-16
13,B,2024-01-08,2024-02-04
14,ELUL,2024-03-07,2024-01-22
15,A,2023-06-12,2024-03-10
16,B,2023-08-02,2023-11-02
17,A,2024-02-08,2024-03-06
18,B,2023-08-31,2023-09-10
19,B,2024-02-14,2023-09-09
20,A,2023-06-25,2024-04-24
21,B,2024-04-15,2023-11-04
22,A,2024-03-04,2023-06-22
23,B,2024-01-24,2024-04-17
24,ELUL,2023-10-01,2024-02-26
25,A,2024-02-18,2023-09-18
26,B,2023-08-28,2024-04-18
27,A,2023-07-20,2024-04-14
28,B,2024-05-06,2024-03-23
29,A,2023-11-02,2023-12-28
30,A,2024-03-10,2024-03-29
31,B,2023-12-06,2023-11-22
32,B,2024-02-20,2024-01-17
33,B,2024-01-15,2023-09-04
34,A,2023-11-07,2023-12-03
35,ELUL,2023-06-19,2023-11-12
36,A,2023-06-10,2023-10-29
37,ELUL,2023-06-04,2023-11-01
38,B,2023-08-18,2023-08-01
39,ELUL,2024-04-26,2024-02-26
40,A,2023-07-30,2024-01-30
41,A,2023-06-24,2023-09-21
42,B,2023-05-28,2023-09-16
43,B,2024-02-19,2023-09-02
44,ELUL,2024-03-14,2024-05-25
45,A,2023-08-21,2024-02-04
46,B,2024-05-20,2023-12-29
47,A,2023-06-11,2023-12-17
48,A,2024-03-16,2023-06-09
49,ELUL,2023-06-16,2023-12-22
50,A,2024-05-07,2023-10-04
51,A,2024-05-14,2023-06-20
52,B,2023-05-28,2023-06-27
53,B,2023-11-10,2024-05-10
54,B,2023-06-23,2023-12-31
55,A,2023-09-30,2023-08-20
56,A,2024-03-21,2023-09-01
57,A,2023-09-04,2023-12-09
58,ELUL,2024-05-11,2023-09-13
59,A,2023-11-29,2024-03-31
60,ELUL,2024-04-15,2024-05-16
61,ELUL,2024-04-02,2023-09-09
62,B,2024-04-21,2023-09-09
63,ELUL,2024-05-26,2024-05-08
64,B,2024-04-27,2023-08-11
65,ELUL,2024-05-13,2023-07-13
66,A,2023-06-04,2023-10-23
67,A,2024-05-02,2023-06-29
68,A,2023-06-19,2024-04-09
69,A,2023-10-18,2024-04-04
70,ELUL,2024-03-27,2023-12-23
71,B,2024-02-15,2023-07-04
72,A,2023-12-25,2023-07-06
73,A,2024-02-06,2024-03-16
74,ELUL,2024-02-09,2024-05-12
75,B,2024-02-14,2023-05-28
76,B,2023-07-27,2023-11-21
77,A,2024-05-25,2023-06-27
78,B,2024-04-21,2024-01-19
79,A,2023-05-28,2023-07-05
80,A,2024-04-15,2023-09-07
81,B,2023-10-05,2023-12-27
82,ELUL,2023-12-15,2023-11-26
83,A,2023-11-25,2024-02-11
84,B,2024-04-07,2023-12-10
85,ELUL,2023-07-31,2023-12-24
86,ELUL,2023-06-01,2023-09-30
87,A,2023-10-29,2023-05-27
88,ELUL,2023-11-06,2024-02-17
89,ELUL,2024-05-16,2023-08-16
90,ELUL,2023-06-22,2024-05-07
91,ELUL,2023-10-26,2023-08-26
92,A,2023-12-25,2023-10-22
93,ELUL,2023-11-03,2024-01-05
94,B,2023-11-19,2023-10-27
95,B,2024-05-11,2023-07-15
96,B,2024-03-27,2023-08-02
97,ELUL,2023-11-25,2023-06-19
98,ELUL,2024-04-10,2023-06-14
99,A,2024-01-13,2024-05-06
100,B,2024-02-08,2023-11-18
101,ELUL,2024-05-09,2024-03-20
102,B,2023-06-02,2023-11-28
103,A,2023-08-16,2024-03-03
104,B,2024-01-22,2023-09-26
105,A,2023-07-25,2023-12-09
106,A,2023-09-17,2024-01-08
107,ELUL,2023-06-20,2023-06-19
108,ELUL,2024-03-04,2023-11-26
109,A,2024-01-17,2023-11-20
110,ELUL,2023-06-11,2024-02-06
111,ELUL,2023-10-23,2023-12-24
112,B,2024-05-15,2024-01-14
113,B,2023-06-01,2023-08-29
114,B,2023-07-04,2024-02-09
115,A,2023-08-27,2024-04-12
116,B,2023-07-09,2023-09-11
117,A,2024-05-08,2023-06-06
118,A,2024-05-06,2023-06-04
119,A,2023-07-09,2023-11-28
120,A,2023-08-14,2024-02-02
121,B,2023-09-05,2023-08-02
122,B,2023-06-07,2024-02-09
123,B,2023-05-30,2024-01-14
124,B,2024-02-19,2023-12-06
125,B,2023-11-21,2023-05-30
126,A,2024-02-02,2023-10-05
127,A,2024-01-11,2024-05-17
