semester_id,start_date,semester_name,end_date
1,2017-12-20,Summer 2010,2018-01-09
2,2022-07-30,Fall 2010,2022-08-19
3,2015-08-17,Winter 2010,2015-11-29
4,2022-06-23,Summer 2011,2022-10-06
5,2014-12-11,Fall 2011,2015-04-02
6,2023-02-04,Winter 2011,2023-04-29
7,2021-10-22,Summer 2012,2021-11-19
8,2015-06-25,Fall 2012,2015-10-02
9,2021-01-01,Winter 2012,2021-01-01
10,2017-06-15,Summer 2013,2017-07-20
11,2015-02-15,Fall 2013,2015-03-02
12,2018-07-14,Winter 2013,2018-08-23
13,2020-10-30,Summer 2014,2020-11-28
14,2023-11-04,Fall 2014,2023-11-05
15,2016-06-16,Winter 2014,2016-07-28
16,2016-02-20,Summer 2015,2016-04-30
17,2023-09-16,Fall 2015,2023-09-23
18,2022-08-06,Winter 2015,2022-11-19
19,2023-06-04,Summer 2016,2023-07-09
20,2019-06-29,Fall 2016,2019-09-26
21,2020-09-24,Winter 2016,2020-12-29
22,2017-02-25,Summer 2017,2017-05-12
23,2020-03-14,Fall 2017,2020-03-17
24,2019-08-04,Winter 2017,2019-09-11
25,2019-03-30,Summer 2018,2019-05-10
26,2017-01-05,Fall 2018,2017-02-20
27,2017-09-21,Winter 2018,2017-10-31
28,2021-09-14,Summer 2019,2022-01-05
29,2014-05-29,Fall 2019,2014-08-01
30,2017-03-09,Winter 2019,2017-05-14
31,2019-05-05,Summer 2020,2019-08-23
32,2023-08-03,Fall 2020,2023-10-28
33,2023-03-22,Winter 2020,2023-05-26
34,2020-11-13,Summer 2021,2021-01-01
35,2019-06-09,Fall 2021,2019-06-21
36,2023-03-14,Winter 2021,2023-06-28
37,2019-03-02,Summer 2022,2019-05-14
38,2023-03-31,Fall 2022,2023-04-27
39,2018-05-08,Winter 2022,2018-05-19
40,2018-03-03,Summer 2010,2018-06-19
41,2021-04-29,Fall 2010,2021-06-12
42,2019-02-17,Winter 2010,2019-04-11
43,2017-04-11,Summer 2011,2017-04-30
44,2024-03-11,Fall 2011,2024-07-07
45,2016-06-24,Winter 2011,2016-10-22
46,2022-07-09,Summer 2012,2022-10-30
47,2020-05-27,Fall 2012,2020-09-16
48,2015-08-27,Winter 2012,2015-10-06
49,2017-08-19,Summer 2013,2017-09-10
50,2017-12-14,Fall 2013,2018-03-16
51,2023-01-02,Winter 2013,2023-03-27
52,2022-09-17,Summer 2014,2022-12-27
53,2022-05-26,Fall 2014,2022-07-27
54,2017-07-02,Winter 2014,2017-07-14
55,2023-07-30,Summer 2015,2023-11-01
56,2017-04-05,Fall 2015,2017-04-10
57,2018-02-23,Winter 2015,2018-05-02
58,2020-10-16,Summer 2016,2020-10-17
59,2015-04-06,Fall 2016,2015-05-24
60,2016-05-04,Winter 2016,2016-06-23
61,2023-07-06,Summer 2017,2023-08-08
62,2023-12-20,Fall 2017,2024-01-01
63,2018-11-04,Winter 2017,2018-11-28
64,2016-02-12,Summer 2018,2016-02-16
